,,,,,
Domain / Context,Data / Document Source,Access Link,,,
Justice – ICE/Palantir,ICE Investigative Case Management (ICM) – Privacy Impact Assessment (2016),PDF – DHS.gov,Dead,,
Justice – ICE/Palantir,"EPIC v. ICE FOIA Releases (Palantir ICM & FALCON docs, 2017–2019)",EPIC Case Files,Working,,
Justice – Oversight,Wyden & Ocasio-Cortez Letter to Palantir re: IRS “mega-database” (June 2025),Senate Finance PDF,Dead,,
Justice – ProPublica,"COMPAS Recidivism Risk Scores Dataset (2016) (Broward County, FL)",GitHub – Data & Code,Working,,
Health – HHS,HHS Protect COVID-19 Data Platform – FAQ (Sep 2020),HHS.gov FAQ,Working,,
Health – HHS,Palantir Blanket Purchase Agreement – HHS data platform (May 2022),FedScoop News,Indirect,,
Health – NHS (UK),NHS Federated Data Platform – Contract Award Notice (Nov 2023),Contracts Finder,Dead/Security Wall,,
Health – NHS (UK),NHS Federated Data Platform – IG Framework v1.0 (Aug 2024),NHS England PDF,Dead,,
Retail – Starbucks,“Green Dot Assist” AI Barista – Announcement (June 2025),Starbucks Press Release,,,
Retail – Starbucks,Azure Sphere IoT Coffee Machines – Case Study (2019),Microsoft IoT Blog,Indirect,,
Retail – Starbucks,AI Inventory Management Rollout (Sept 2025),Reuters News,Working,,
Cross-domain – Palantir,Palantir Foundry Ontology – Developer Documentation,Palantir Docs,Working,,
Cross-domain – Palantir,Palantir “ImmigrationOS” – News/Analysis (Aug 2025),American Immigration Council,Indirect,,
